Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong,processed_text,processed_text_no_lexnorm
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',1,1,1,0,0,0,0,0,1,1,0,0,saat cowok usaha lacak perhati lantas remeh perhati basic cowok bodoh,saat cowok usaha lacak perhati gue loe lantas remeh perhati yg gue kasih elo basic elo cowok bego
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',0,1,0,0,0,0,0,0,0,0,0,0,retweet user user telat gila gila gaul cigax jifla cal noh licew,rt user user telat ngasih tau elu edan sarap gue gaul cigax jifla cal noh licew
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",0,0,0,0,0,0,0,0,0,0,0,0,kadang berfikir percaya tuhan jatuh kali kadang tuhan ninggalkan orangtuaku rencana pisah kakak pilih kristen anak ter,kadang berfikir percaya tuhan jatuh kali kadang tuhan ninggalkan orangtuaku rencana pisah kakak pilih kristen anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',0,0,0,0,0,0,0,0,0,0,0,0,user user nku mata sipit,user user nku tau mata sipit liat
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',1,1,0,1,1,0,0,0,0,0,1,0,user user kaum cebong kapir liat dongok dongok hahahah,user user kaum cebong kapir udah liat dongok dongok hahahah
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',1,1,0,1,0,0,0,0,1,0,1,0,user bani taplak kawan kawan xf xf xf xf xf xf,user bani taplak dkk xf xf xf xf xf xf
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0,deklarasi pilkada aman anti berita bohong warga dukuh sari jabon,deklarasi pilkada aman anti hoax warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,0,1,0,0,0,0,0,0,0,0,0,0,kelar re watch aldnoah zero kampret endingnya karakter utama cowonya friendzone bray xd url,gue aja kelar re watch aldnoah zero kampret emang endingnya karakter utama cowonya friendzone bray xd url
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",0,0,0,0,0,0,0,0,0,0,0,0,admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano gerai rojak mertua taipan twins baby romantika bank islam senawang,admin belanja port baik nak makan ais kepal milo ais kepal horlicks cendol toping kaw kaw doket mano tu gerai rojak mertua taipan twins baby amp romantika bank islam senawang
USER Enak lg klo smbil ngewe',0,1,0,0,0,0,0,0,0,0,0,0,user smbil ngewe,user lg klo smbil ngewe
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",1,1,1,0,0,0,0,0,1,1,0,0,jari tengah bom ukur nyali bacot xf xf xf,gw jari tengah lu bom gw ukur nyali bacot lu xf xf xf
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,1,1,1,0,0,0,0,1,0,1,0,0,user user user user banci kaleng malu tidak nyungsep koe user url,user user user user banci kaleng malu ga nyungsep koe user url
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,0,0,0,0,0,0,0,0,0,0,0,0,ajar ekonomi mesti jago privatisasi hati duh ironi user,kalo ajar ekonomi mesti jago privatisasi hati duh ironi user
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,1,0,1,0,0,0,0,0,1,1,0,0,aktor huruhara prabowo lengser perintah jokowi,aktor huruhara prabowo lengser perintah jokowi
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',1,1,1,0,0,0,0,1,0,1,0,0,user bu guru enak jablay guru esde sih nkayaknya nikmat pecun guru,user bu guru enak jablay guru esde sih nkayaknya nikmat pecun guru
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",1,1,1,0,1,0,0,0,0,1,0,0,user user user user user user lawan bicara tidak intelek otak tidak kencing onta aku hadis nabi sahih kafir tolak ahlunnar,user user user user user user lawan bicara gw gak intelek kyk loe yg otak gak ttg kencing onta gw aku hadis nabi sahih kafir kyk loe tolak loe ahlunnar
Belakangan ini kok fikiran ampas banget ya',0,0,0,0,0,0,0,0,0,0,0,0,fikiran ampas,fikiran ampas banget
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',0,1,0,0,0,0,0,0,0,0,0,0,ari sarua bek mah repeh monyet xf xf xf xf,ari sarua bek mah repeh monyet xf xf xf xf
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',1,1,0,1,0,0,0,1,0,0,1,0,cowo gantle tidak gantle nama banci,cowo gantle kalo ga gantle nama banci
USER Slga mnr bom \xf0\x9f\x98\x82',0,0,0,0,0,0,0,0,0,0,0,0,user slga mnr bom xf xf,user slga mnr bom xf xf
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",0,1,0,0,0,0,0,0,0,0,0,0,asw jarang rajuk tacut wkkwkwkwkw bucin,asw gua jarang ngambek tacut wkkwkwkwkw gua bucin
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',0,0,0,0,0,0,0,0,0,0,0,0,user noob peluang disakitin gede si,user kalo noob peluang disakitin gede si
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",0,0,0,0,0,0,0,0,0,0,0,0,user joko widodo nilai presiden lemah sejarah indonesia bukan jokowi tidak milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,user joko widodo nilai presiden lemah sejarah indonesia bukan jokowi tidak milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,0,0,0,0,0,0,0,0,0,0,0,0,ajar sma kec bilah hilir deklarasi anti berita bohong pilkada damai,ajar sma kec bilah hilir deklarasi anti hoax amp pilkada damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,0,0,0,0,0,0,0,0,0,0,0,0,bandara udara internasional kertajati bangun gubernur ahmad heryawan tanpa apbn perintah pusat insya allah operasi,bandara udara internasional kertajati bangun gubernur ahmad heryawan tanpa apbn perintah pusat insya allah operasi
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",0,0,0,0,0,0,0,0,0,0,0,0,gubernur presiden rakyat kita,gubernur presiden rakyat kita
Ini si USER kerjaannya delay mulu! Setan!',1,1,0,1,0,0,0,0,1,0,1,0,si user kerja delay mulu setan,si user kerja delay mulu setan
menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modusbanget,0,0,0,0,0,0,0,0,0,0,0,0,turut pintu sorga pintu sorga asli pintu hati modusbanget,turut pintu sorga pintu sorga asli pintu hati modusbanget
RT USER USER USER PKI hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden krn digoreng sampai gosong.,1,0,0,1,0,1,0,0,0,0,1,0,retweet user user user pki muncul jelang pilih kepala daerah pilih presiden goreng gosong,rt user user user pki muncul jelang pilih kepala daerah pilih presiden krn goreng gosong
USER USER Itu mah sdh nenek-nenek sy heran sama cebong biasay bohong terus',1,1,1,0,0,0,0,0,1,1,0,0,user user mah nenek nenek heran cebong biasay bohong,user user mah sdh nenek nenek sy heran cebong biasay bohong
"USER USER USER USER USER USER USER USER USER Islam Nusantara produk JIL, dipasarkan dg gencar oleh antek\xc2\xb2 JIL.\n\nSementara JIL anti Arab, tapi pro Aseng!\n\nKata (alm) KH. Hasyim Muzadi,",1,0,0,1,1,0,0,0,0,0,1,0,user user user user user user user user user islam nusantara produk jil pasar gencar antek xc xb jil nsementara jil anti arab pro aseng nkata alm kh hasyim muzadi,user user user user user user user user user islam nusantara produk jil pasar dg gencar antek xc xb jil nsementara jil anti arab pro aseng nkata alm kh hasyim muzadi
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',0,0,0,0,0,0,0,0,0,0,0,0,habis sahur jam sibayik nete lemas tidak xf xf xa xa,habis sahur sampe jam sibayik udah nete skg lemas tak xf xf xa xa
USER Gak kak emak mah gak demen ama yang sipit wkwk',0,0,0,0,0,0,0,0,0,0,0,0,user tidak kak emak mah tidak demen sipit tertawa,user gak kak emak mah gak demen ama sipit wkwk
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL",0,1,0,0,0,0,0,0,0,0,0,0,retweet user laku homok jaman now ngentot live blued url,rt user laku homok jaman now ngentot aja live blued url
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?",0,0,0,0,0,0,0,0,0,0,0,0,user tidak kak bukan jawa maaf yak palembang kakak deh ajar aksara jawa kalak ajar budaya palembang,user ga kak gua bukan jawa maaf yak gua palembang kakak aja deh yg ajar aksara jawa kalak ajar budaya palembang
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',1,1,0,1,0,0,0,0,1,0,1,0,pegawai guardian training mentang gembel kaos flat shoes nanya dijutekin bangsad malas beli kabur matahari,pegawai guardian training kek mentang gue kek gembel cuman kaos flat shoes nanya dijutekin bangsad emang males beli kabur gua matahari
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',0,1,0,0,0,0,0,0,0,0,0,0,xe xdpara bajing luka lady terima ganjar ratus lipat xe xd sanji,xe xdpara bajing luka lady terima ganjar ratus lipat xe xd sanji
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,0,0,0,0,0,0,0,0,0,0,0,0,aja tolak berita berita bohong sukses pilkada wilayah kota keidri,aja tolak berita hoax sukses pilkada wilayah kota keidri
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,0,0,0,0,0,0,0,0,0,0,0,0,user user presiden ri jokowi luarbiasa tulus ihlas,user user presiden ri jokowi luarbiasa tulus ihlas
Edan emang goollnya fabiano!!',0,1,0,0,0,0,0,0,0,0,0,0,gila goollnya fabiano,edan emang goollnya fabiano
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',1,1,1,0,1,0,1,0,0,1,0,0,gapernah dalam al quran abang pantesan mulut kaya kafir bejat hina farhatabbaslaw,gapernah dalam al quran bang pantesan mulut kaya kafir bejat hina farhatabbaslaw
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...",0,0,0,0,0,0,0,0,0,0,0,0,beda wibawa wibawa gubernur indonesia user massya allah,beda wibawa yg wibawa gubernur indonesia user massya allah
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,1,1,0,1,0,0,0,0,1,0,1,0,anjing bodoh debat pilkada kerja nyerang karakter shame on you mpok silvy and agus,anjir bego debat pilkada kerja nyerang karakter shame on you mpok silvy and agus
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦",0,0,0,0,0,0,0,0,0,0,0,0,retweet user keanekaragaman budaya suku agama sungguh kaya djarot hadap serta rakercabsu,rt user keanekaragaman budaya suku agama sungguh kaya djarot hadap serta rakercabsu
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'",0,0,0,0,0,0,0,0,0,0,0,0,user user iya islam tidak lokalisasi lha kristen mas nusantara mas gereja bandung pakai gamelan khotbah pakai bhs sunda jawa hkbp nusantara,user user iya islam ga lokalisasi lha kristen aja mas nusantara mas liat aja gereja bandung yg pake gamelan yg khotbah pake bhs sunda jawa hkbp nusantara
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat",0,0,0,0,0,0,0,0,0,0,0,0,cipta situasi kamtibmas jelang pilkada kapolsek konang silaturahmi tokoh masyarakat,cipta situasi kamtibmas jelang pilkada kapolsek konang silaturahmi tokoh masyarakat
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,0,0,0,0,0,0,0,0,0,0,0,0,user user positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga impor esemka impor nurl,user user positif nse positif respon masyarakat cangkul impor garam impor beras impor jagung impor tenaga impor esemka impor nurl
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All",0,0,0,0,0,0,0,0,0,0,0,0,user user user user sembahyang adopsi tradisi lokal kerja hindu nistilah xc xasembahyang xc xapun lahir tradisi ritus xc xamenyembahhyang tunggal xc xashalat sembah all,user user user user sembahyang adopsi tradisi lokal kerja hindu nistilah xc xasembahyang xc xapun lahir tradisi ritus xc xamenyembahhyang tunggal xc xashalat sembah all
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,1,1,1,0,0,0,0,0,1,1,0,0,dik tinggi bodoh tidak larang bawa agama islam bayar ahok sadar tidak milih ahok gla,kau dik tinggi bodoh gk larang bawa agama biar islam yg bayar ahok sadar gk milih ahok gla
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'",1,1,0,1,0,0,0,0,1,0,1,0,user user btp the best abai kaum kampret otak micin,user user btp the best abai kaum kampret otak micin
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'",1,1,1,0,0,0,0,0,1,1,0,0,user user si otak tempurung mah tidak ladenin smkn lawan bloon bodoh tidak tidak makan tertawa,user user si otak tempurung mah ga ladenin smkn lawan bloon dungu kalo ga gitu ga makan hehe
